pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,4051,4056,8.981877,8.992963,6,13.303
2,4991,5017,11.066045,11.123692,27,59.864
3,5941,5982,13.172385,13.263290,42,93.122
4,6908,6980,15.316418,15.476056,73,161.856
5,7907,8001,17.531400,17.739817,95,210.634
6,8928,9046,19.795162,20.056791,119,263.847
7,9970,10179,22.105484,22.568879,210,465.612
8,11106,11427,24.624223,25.335944,322,713.938
9,12352,12787,27.386854,28.351336,436,966.699
10,13714,14374,30.406681,31.870033,661,1465.569
11,15300,16187,33.923160,35.889816,888,1968.874
12,17113,18226,37.942944,40.410687,1114,2469.961
13,19152,20491,42.463814,45.432645,1340,2971.048
