pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,4191,4202,9.231097,9.255325,12,26.431
2,5115,5138,11.266299,11.316959,24,52.862
3,6043,6082,13.310312,13.396213,40,88.104
4,6107,6112,13.451278,13.462291,6,13.216
5,6983,7032,15.380756,15.488683,50,110.130
6,7056,7061,15.541546,15.552559,6,13.216
7,7938,8008,17.484239,17.638421,71,156.385
8,8032,8037,17.691283,17.702296,6,13.216
9,8914,9007,19.633976,19.838818,94,207.044
10,9031,9037,19.891681,19.904896,7,15.418
11,9911,10028,21.829969,22.087673,118,259.907
12,10052,10055,22.140535,22.147143,4,8.810
13,10934,11053,24.083228,24.345338,120,264.312
14,11078,11081,24.400403,24.407011,4,8.810
15,11958,12082,26.338691,26.611813,125,275.325
16,12106,12113,26.664676,26.680094,8,17.621
17,12986,13116,28.602964,28.889302,131,288.541
18,13140,13144,28.942164,28.950974,5,11.013
19,14020,14152,30.880452,31.171195,133,292.946
20,14175,14182,31.221855,31.237273,8,17.621
21,15056,15189,33.162346,33.455291,134,295.148
22,15213,15218,33.508154,33.519167,6,13.216
23,16095,16234,35.450847,35.757008,140,308.364
24,16258,16263,35.809871,35.820884,6,13.216
25,17138,17281,37.748159,38.063131,144,317.174
26,17305,17310,38.115993,38.127006,6,13.216
27,18187,18415,40.058686,40.560879,229,504.395
28,18439,18444,40.613741,40.624754,6,13.216
29,19320,19662,42.554232,43.307521,343,755.492
30,19686,19691,43.360384,43.371397,6,13.216
31,20566,21023,45.298672,46.305260,458,1008.791
32,21926,22607,48.294208,49.794178,682,1502.173
33,22631,22636,49.847041,49.858054,6,13.216
34,23513,24422,51.789734,53.791897,910,2004.366
35,24446,24450,53.844760,53.853570,5,11.013
36,25327,26461,55.785250,58.282999,1135,2499.951
37,26485,26491,58.335861,58.349077,7,15.418
38,27365,28722,60.274149,63.263077,1358,2991.131
39,28746,28750,63.315940,63.324750,5,11.013
40,29626,31439,65.254228,69.247541,1814,3995.516
41,31464,31467,69.302606,69.309214,4,8.810
