pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,2,1394,0.004494,3.132457,1393,3130.210
2,1419,1423,3.188635,3.197623,5,11.236
3,4126,4138,9.271535,9.298500,13,29.212
4,5050,5077,11.347855,11.408527,28,62.919
5,5980,6019,13.437658,13.525295,40,89.884
6,6044,6052,13.581472,13.599449,9,20.224
7,6922,6969,15.554426,15.660040,48,107.861
8,6994,6998,15.716217,15.725206,5,11.236
9,7875,7946,17.695912,17.855457,72,161.791
10,7971,7975,17.911634,17.920623,5,11.236
11,8852,8945,19.891329,20.100310,94,211.227
12,8969,8975,20.154240,20.167722,7,15.730
13,9851,9966,22.136182,22.394599,116,260.664
14,9990,9996,22.448529,22.462012,7,15.730
15,10871,10991,24.428224,24.697876,121,271.899
16,11016,11020,24.754054,24.763042,5,11.236
17,11784,11895,26.479826,26.729254,112,251.675
18,11920,11925,26.785432,26.796668,6,13.483
19,12777,12907,28.711197,29.003320,131,294.370
20,12932,12935,29.059497,29.066239,4,8.988
21,13811,13942,31.034698,31.329068,132,296.617
22,13966,13972,31.382999,31.396481,7,15.730
23,14633,14766,32.881814,33.180679,134,301.111
24,14790,14795,33.234609,33.245844,6,13.483
25,15662,15713,35.194080,35.308682,52,116.849
26,16575,16719,37.245683,37.569265,145,325.829
27,16743,16748,37.623195,37.634431,6,13.483
28,17623,17851,39.600643,40.112982,229,514.586
29,17875,17880,40.166913,40.178148,6,13.483
30,18757,19100,42.148855,42.919610,344,773.002
31,19124,19129,42.973540,42.984776,6,13.483
32,20004,20459,44.950988,45.973419,456,1024.678
33,20483,20488,46.027349,46.038585,6,13.483
34,21364,22047,48.007044,49.541814,684,1537.016
35,22072,22075,49.597991,49.604732,4,8.988
36,22952,23844,51.575439,53.579852,893,2006.660
37,23869,23873,53.636030,53.645018,5,11.236
38,24750,25885,55.615725,58.166184,1136,2552.706
39,26789,28148,60.197562,63.251371,1360,3056.056
40,28173,28175,63.307548,63.312043,3,6.741
41,29053,30865,65.284996,69.356741,1813,4073.992
42,30890,30893,69.412919,69.419660,4,8.988
