pulse_index,start_frame,end_frame,start_time_s,end_time_s,open_frames,open_ms_measured
1,3547,3554,7.761191,7.776507,8,17.505
2,4468,4496,9.776431,9.837698,29,63.455
3,5398,5438,11.811364,11.898888,41,89.712
4,5461,5470,11.949214,11.968907,10,21.881
5,6341,6390,13.874742,13.981959,50,109.405
6,6414,6420,14.034473,14.047602,7,15.317
7,7294,7365,15.960001,16.115357,72,157.543
8,7389,7394,16.167871,16.178811,6,13.129
9,8271,8364,18.097775,18.301268,94,205.681
10,8389,8393,18.355971,18.364723,5,10.941
11,9270,9385,20.283687,20.535318,116,253.820
12,9409,9414,20.587833,20.598773,6,13.129
13,10291,10410,22.517737,22.778121,120,262.572
14,10434,10439,22.830635,22.841576,6,13.129
15,11265,11390,24.648947,24.922459,126,275.701
16,11413,11419,24.972785,24.985914,7,15.317
17,12294,12425,26.900501,27.187143,132,288.829
18,12449,12454,27.239657,27.250597,6,13.129
19,13331,13464,29.169561,29.460578,134,293.205
20,13488,13493,29.513093,29.524033,6,13.129
21,14368,14503,31.438621,31.734014,136,297.582
22,14527,14532,31.786529,31.797469,6,13.129
23,15409,15548,33.716433,34.020579,140,306.334
24,15572,15576,34.073093,34.081846,5,10.941
25,16452,16595,35.998621,36.311520,144,315.086
26,16619,16624,36.364034,36.374974,6,13.129
27,17498,17727,38.287374,38.788449,230,503.263
28,17751,17755,38.840963,38.849716,5,10.941
29,18630,18973,40.764303,41.514821,344,752.706
30,18997,19003,41.567336,41.580464,7,15.317
31,19879,20336,43.497240,44.497202,458,1002.150
32,20361,20364,44.551904,44.558468,4,8.752
33,21241,21923,46.477432,47.969716,683,1494.472
34,21947,21953,48.022231,48.035359,7,15.317
35,22827,23734,49.947759,51.932365,908,1986.795
36,23758,23764,51.984880,51.998008,7,15.317
37,24640,25774,53.914784,56.396089,1135,2483.494
38,25797,25803,56.446416,56.459544,7,15.317
39,26677,28037,58.371944,61.347760,1361,2978.004
40,28061,28066,61.400274,61.411215,6,13.129
41,28941,30725,63.325802,67.229372,1785,3905.758
42,30749,30754,67.281887,67.292827,6,13.129
