pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,6170,6388,12.074073,12.500677,428.561,0.007,48.123,6353,12.432186,0.706106,6347,6359,25.440,6350,6356,13.698,6352,6354,5.871
2,7673,8047,15.015294,15.747174,733.837,0.006,57.466,7890,15.439941,0.868159,7885,7897,25.440,7887,7894,15.655,7889,7891,5.871
3,9235,9506,18.071972,18.602291,532.277,0.006,159.769,9429,18.451610,2.737797,9423,9436,27.397,9426,9433,15.655,9428,9431,7.828
4,10762,11091,21.060158,21.703978,645.777,0.005,254.995,10968,21.463279,6.959963,10961,10979,37.181,10964,10976,25.440,10966,10974,17.612
5,12395,12592,24.255775,24.641285,387.466,0.006,254.994,12508,24.476905,5.959091,12501,12517,33.267,12503,12514,23.483,12506,12512,13.698
6,13987,14157,27.371160,27.703833,334.630,0.006,254.994,14047,27.488574,9.329137,14041,14063,45.009,14043,14061,37.181,14046,14059,27.397
7,15350,15746,30.038415,30.813347,776.889,0.006,254.994,15589,30.506114,9.999526,15582,15606,48.922,15585,15604,39.138,15587,15602,31.310
8,17046,17271,33.357317,33.797620,442.259,0.006,254.994,17133,33.527568,10.521927,17126,17151,50.879,17129,17149,41.095,17131,17147,33.267
9,18642,18703,36.480530,36.599901,121.328,0.006,254.994,18678,36.550978,12.254061,18672,18700,56.750,18674,18698,48.922,18676,18695,39.138
10,19811,20437,38.768146,39.993165,1226.976,0.007,254.993,20215,39.558734,11.289209,20208,20235,54.793,20211,20232,43.052,20213,20230,35.224
11,21620,22033,42.308178,43.116378,810.157,0.006,254.994,21760,42.582144,11.520440,21753,21780,54.793,21756,21778,45.009,21758,21776,37.181
12,23025,23428,45.057623,45.846253,790.588,0.005,254.995,23304,45.603598,13.664702,23297,23328,62.621,23300,23326,52.836,23302,23324,45.009
13,24761,24913,48.454801,48.752250,299.406,0.006,254.994,24851,48.630922,15.112888,24844,24878,68.492,24847,24876,58.707,24849,24874,50.879
14,26183,27370,51.237513,53.560353,2324.797,0.005,254.995,26399,51.660203,16.539881,26392,26429,74.362,26395,26427,64.578,26397,26425,56.750
15,27412,28040,53.642543,54.871476,1230.890,0.006,254.994,27949,54.693398,15.766233,27942,27977,70.448,27945,27975,60.664,27947,27973,52.836
16,29408,30139,57.548515,58.979009,1432.451,0.006,254.994,29498,57.724636,19.172835,29491,29533,84.147,29494,29531,74.362,29496,29529,66.535
17,30804,31130,60.280348,60.918297,639.906,0.006,254.994,31052,60.765659,23.734136,31046,31124,154.595,31048,31091,86.104,31050,31089,78.276
18,32439,32975,63.479879,64.528778,1050.855,0.006,254.994,32609,63.812552,32.824996,32602,32694,181.992,32605,32690,168.293,32607,32687,158.509
19,33827,34556,66.196056,67.622636,1428.537,0.006,254.994,34175,66.877058,34.162466,34169,34260,180.035,34171,34257,170.250,34174,34254,158.509
20,35686,36123,69.833933,70.689099,857.122,0.005,254.995,35747,69.953304,33.851168,35740,35831,180.035,35743,35828,168.293,35745,35825,158.509
21,37012,38486,72.428783,75.313253,2886.428,0.005,254.995,37317,73.025637,39.414698,37311,37414,203.518,37313,37411,193.733,37316,37408,181.992
22,38875,39221,76.074488,76.751575,679.044,0.005,254.995,38896,76.115582,51.950676,38889,39017,252.440,38892,39014,240.699,38894,39011,230.914
