pulse_id,abs_frame,time_s,metric_raw,metric_sm
1,6647,13.032773,0.010000,0.011000
1,6648,13.034734,0.015000,0.011000
1,6649,13.036694,0.030000,0.012000
1,6650,13.038655,0.000000,0.011000
1,6651,13.040616,0.005000,0.008000
1,6652,13.042576,0.005000,0.004000
1,6653,13.044537,0.000000,0.005000
1,6654,13.046498,0.010000,0.007000
1,6655,13.048459,0.005000,0.011000
1,6656,13.050419,0.015000,0.012000
1,6657,13.052380,0.025000,0.012000
1,6658,13.054341,0.005000,0.012000
1,6659,13.056301,0.010000,0.013000
1,6660,13.058262,0.005000,0.011000
1,6661,13.060223,0.020000,0.011000
1,6662,13.062183,0.015000,0.012000
1,6663,13.064144,0.005000,0.014000
1,6664,13.066105,0.015000,0.011000
1,6665,13.068065,0.015000,0.010000
1,6666,13.070026,0.005000,0.011000
1,6667,13.071987,0.010000,0.008000
1,6668,13.073948,0.010000,0.007000
1,6669,13.075908,0.000000,0.008000
1,6670,13.077869,0.010000,0.008000
1,6671,13.079830,0.010000,0.009000
1,6672,13.081790,0.010000,0.010000
1,6673,13.083751,0.015000,0.009000
1,6674,13.085712,0.005000,0.007000
1,6675,13.087673,0.005000,0.005000
1,6676,13.089633,0.000000,0.003000
1,6677,13.091594,0.000000,0.003000
1,6678,13.093555,0.005000,0.002000
1,6679,13.095515,0.005000,0.004000
1,6680,13.097476,0.000000,0.007000
1,6681,13.099437,0.010000,0.007000
1,6682,13.101397,0.015000,0.008000
1,6683,13.103358,0.005000,0.009000
1,6684,13.105319,0.010000,0.010000
1,6685,13.107280,0.005000,0.007000
1,6686,13.109240,0.015000,0.007000
1,6687,13.111201,0.000000,0.009000
1,6688,13.113162,0.005000,0.008000
1,6689,13.115122,0.020000,0.006000
1,6690,13.117083,0.000000,0.008000
1,6691,13.119044,0.005000,0.008000
1,6692,13.121004,0.010000,0.007000
1,6693,13.122965,0.005000,0.008000
1,6694,13.124926,0.015000,0.008000
1,6695,13.126886,0.005000,0.006000
1,6696,13.128847,0.005000,0.007000
1,6697,13.130808,0.000000,0.004000
1,6698,13.132769,0.010000,0.004000
1,6699,13.134729,0.000000,0.005000
1,6700,13.136690,0.005000,0.005000
1,6701,13.138651,0.010000,0.004000
1,6702,13.140611,0.000000,0.006000
1,6703,13.142572,0.005000,0.006000
1,6704,13.144533,0.010000,0.005000
1,6705,13.146494,0.005000,0.006000
1,6706,13.148454,0.005000,0.006000
1,6707,13.150415,0.005000,0.006000
1,6708,13.152376,0.005000,0.005000
1,6709,13.154336,0.010000,0.007000
1,6710,13.156297,0.000000,0.010000
1,6711,13.158258,0.015000,0.009000
1,6712,13.160218,0.020000,0.009000
1,6713,13.162179,0.000000,0.009000
1,6714,13.164140,0.010000,0.007000
1,6715,13.166101,0.000000,0.003000
1,6716,13.168061,0.005000,0.004000
1,6717,13.170022,0.000000,0.005000
1,6718,13.171983,0.005000,0.006000
1,6719,13.173943,0.015000,0.007000
1,6720,13.175904,0.005000,0.007000
1,6721,13.177865,0.010000,0.007000
1,6722,13.179825,0.000000,0.006000
1,6723,13.181786,0.005000,0.009000
1,6724,13.183747,0.010000,0.009000
1,6725,13.185707,0.020000,0.009000
1,6726,13.187668,0.010000,0.009000
1,6727,13.189629,0.000000,0.013000
1,6728,13.191590,0.005000,0.010000
1,6729,13.193550,0.030000,0.010000
1,6730,13.195511,0.005000,0.014000
1,6731,13.197472,0.010000,0.016000
1,6732,13.199432,0.020000,0.011000
1,6733,13.201393,0.015000,0.010000
1,6734,13.203354,0.005000,0.009000
1,6735,13.205315,0.000000,0.005000
1,6736,13.207275,0.005000,0.005000
