pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,3726,3734,7.334631,7.350379,17.716,0.006,236.290,3729,7.340536,3.522944,3726,3734,17.716,3726,3734,17.716,3728,3731,7.874
2,4757,4775,9.364154,9.399587,37.401,0.006,254.994,4761,9.372028,8.624670,4757,4775,37.401,4757,4774,35.433,4759,4772,27.559
3,5791,5829,11.399583,11.474386,76.771,0.008,254.992,5795,11.407457,18.844706,5791,5829,76.771,5791,5829,76.771,5793,5827,68.897
4,6837,6928,13.458634,13.637768,181.102,0.007,254.993,6840,13.464540,36.013503,6837,6928,181.102,6837,6928,181.102,6839,6925,171.260
5,7821,7919,15.395638,15.588551,194.881,0.007,254.993,7824,15.401544,39.214609,7821,7919,194.881,7821,7919,194.881,7823,7916,185.039
6,8891,9013,17.501933,17.742090,242.125,0.007,254.993,8894,17.507839,51.110543,8891,9013,242.125,8891,9012,240.157,8893,9009,230.314
7,9986,10135,19.657441,19.950747,295.275,0.008,254.992,9989,19.663346,64.620879,9986,10135,295.275,9986,10135,295.275,9988,10132,285.433
8,11109,11281,21.868066,22.206649,340.550,0.008,254.992,11112,21.873972,76.225455,11109,11281,340.550,11109,11280,338.582,11111,11278,330.708
9,12255,12433,24.123967,24.474360,352.361,0.008,254.992,12258,24.129873,79.491157,12255,12433,352.361,12255,12432,350.393,12256,12429,342.519
10,13405,13589,26.387742,26.749947,364.172,0.008,254.992,13409,26.395616,82.361300,13405,13589,364.172,13405,13589,364.172,13407,13586,354.330
11,14563,14752,28.667265,29.039312,374.015,0.007,254.993,14566,28.673171,84.961868,14563,14752,374.015,14563,14751,372.046,14565,14748,362.204
12,15724,15914,30.952694,31.326709,375.983,0.007,254.993,15727,30.958599,85.413451,15724,15914,375.983,15724,15914,375.983,15726,15911,366.141
13,16888,17083,33.244028,33.627885,385.826,0.006,254.994,16891,33.249933,87.692905,16888,17083,385.826,16888,17082,383.857,16890,17079,374.015
14,18056,18254,35.543236,35.932999,391.731,0.008,254.992,18060,35.551110,89.442553,18056,18254,391.731,18056,18254,391.731,18058,18251,381.889
15,19228,19432,37.850318,38.251892,403.542,0.009,254.991,19231,37.856223,92.170912,19228,19432,403.542,19228,19431,401.574,19230,19428,391.731
16,20404,20704,40.165274,40.755824,592.519,0.008,254.992,20407,40.171180,140.209655,20404,20704,592.519,20404,20703,590.550,20406,20701,582.676
17,21660,22087,42.637710,43.478260,842.518,0.009,254.991,21663,42.643615,204.016110,21660,22087,842.518,21660,22087,842.518,21662,22084,832.675
18,23060,23609,45.393610,46.474317,1082.675,0.008,254.992,23064,45.401484,262.889645,23060,23609,1082.675,23060,23608,1080.707,23062,23576,1013.777
19,24589,25399,48.403446,49.997931,1596.453,0.008,254.992,24593,48.411320,395.180926,24589,25399,1596.453,24589,25398,1594.485,24591,25395,1584.642
20,26372,27436,51.913282,54.007766,2096.452,0.006,254.994,26375,51.919187,522.549191,26372,27436,2096.452,26372,27436,2096.452,26374,27433,2086.610
21,28411,29728,55.927053,58.519568,2594.483,0.008,254.992,28414,55.932959,648.738608,28411,29728,2594.483,28411,29727,2592.514,28413,29724,2582.672
22,30702,32272,60.436887,63.527432,3092.514,0.006,254.994,30705,60.442792,775.495195,30702,32272,3092.514,30702,32272,3092.514,30704,32269,3082.671
23,33244,35288,65.440814,69.464428,4025.582,0.008,254.992,33248,65.448688,1021.588832,33244,35288,4025.582,33244,35287,4023.614,33246,35285,4015.740
