pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,3130,3822,6.054046,7.392512,1340.401,0.005,254.995,3213,6.214585,35.658230,3207,3303,187.617,3209,3300,177.946,3212,3297,166.341
2,4273,5256,8.264837,10.166155,1903.253,0.005,254.995,4778,9.241608,35.759602,4772,4868,187.617,4774,4865,177.946,4777,4862,166.341
3,6080,6478,11.759936,12.529748,771.746,0.005,254.995,6343,12.268631,35.761905,6337,6433,187.617,6340,6430,176.012,6342,6428,168.275
4,7637,8167,14.771485,15.796611,1027.060,0.007,254.993,7910,15.299522,35.960745,7904,8000,187.617,7907,7997,176.012,7909,7995,168.275
5,9429,9767,18.237572,18.891331,655.694,0.006,254.994,9476,18.328479,34.395722,9470,9562,179.881,9472,9559,170.210,9475,9557,160.539
6,10770,11396,20.831334,22.042143,1212.743,0.005,254.995,11045,21.363239,36.256993,11039,11135,187.617,11041,11132,177.946,11044,11130,168.275
7,12124,12748,23.450241,24.657182,1208.875,0.005,254.995,12613,24.396065,35.412937,12607,12701,183.749,12609,12698,174.078,12612,12696,164.407
8,13915,15399,26.914393,29.784746,2872.287,0.006,254.994,14182,27.430824,33.303009,14176,14266,176.012,14179,14263,164.407,14181,14261,156.670
9,15432,15993,29.848574,30.933661,1087.020,0.006,254.994,15754,30.471387,35.085156,15748,15842,183.749,15751,15839,172.144,15753,15836,162.473
10,17608,19123,34.057394,36.987707,2932.247,0.006,254.994,18898,36.552512,34.090144,18892,18983,177.946,18894,18981,170.210,18897,18978,158.604
