pulse_id,abs_frame,time_s,metric_raw,metric_sm
1,10856,21.285359,0.005000,0.009000
1,10857,21.287320,0.015000,0.008000
1,10858,21.289281,0.015000,0.008000
1,10859,21.291241,0.000000,0.008000
1,10860,21.293202,0.005000,0.005000
1,10861,21.295163,0.005000,0.005000
1,10862,21.297123,0.000000,0.007000
1,10863,21.299084,0.015000,0.008000
1,10864,21.301045,0.010000,0.007000
1,10865,21.303006,0.010000,0.009000
1,10866,21.304966,0.000000,0.006000
1,10867,21.306927,0.010000,0.005000
1,10868,21.308888,0.000000,0.004000
1,10869,21.310848,0.005000,0.005000
1,10870,21.312809,0.005000,0.005000
1,10871,21.314770,0.005000,0.006000
1,10872,21.316730,0.010000,0.005000
1,10873,21.318691,0.005000,0.006000
1,10874,21.320652,0.000000,0.009000
1,10875,21.322612,0.010000,0.007000
1,10876,21.324573,0.020000,0.008000
1,10877,21.326534,0.000000,0.009000
1,10878,21.328495,0.010000,0.009000
1,10879,21.330455,0.005000,0.005000
1,10880,21.332416,0.010000,0.006000
1,10881,21.334377,0.000000,0.004000
1,10882,21.336337,0.005000,0.005000
1,10883,21.338298,0.000000,0.003000
1,10884,21.340259,0.010000,0.003000
1,10885,21.342219,0.000000,0.003000
1,10886,21.344180,0.000000,0.004000
1,10887,21.346141,0.005000,0.004000
1,10888,21.348102,0.005000,0.005000
1,10889,21.350062,0.010000,0.006000
1,10890,21.352023,0.005000,0.005000
1,10891,21.353984,0.005000,0.007000
1,10892,21.355944,0.000000,0.007000
1,10893,21.357905,0.015000,0.008000
1,10894,21.359866,0.010000,0.009000
1,10895,21.361826,0.010000,0.011000
1,10896,21.363787,0.010000,0.009000
1,10897,21.365748,0.010000,0.009000
1,10898,21.367709,0.005000,0.008000
1,10899,21.369669,0.010000,0.009000
1,10900,21.371630,0.005000,0.008000
1,10901,21.373591,0.015000,0.007000
1,10902,21.375551,0.005000,0.006000
1,10903,21.377512,0.000000,0.007000
1,10904,21.379473,0.005000,0.005000
1,10905,21.381433,0.010000,0.004000
1,10906,21.383394,0.005000,0.006000
1,10907,21.385355,0.000000,0.005000
1,10908,21.387316,0.010000,0.003000
1,10909,21.389276,0.000000,0.002000
1,10910,21.391237,0.000000,0.002000
1,10911,21.393198,0.000000,0.001000
1,10912,21.395158,0.000000,0.001000
1,10913,21.397119,0.005000,0.004000
1,10914,21.399080,0.000000,0.004000
1,10915,21.401041,0.015000,0.004000
1,10916,21.403001,0.000000,0.004000
1,10917,21.404962,0.000000,0.006000
1,10918,21.406923,0.005000,0.004000
1,10919,21.408883,0.010000,0.004000
1,10920,21.410844,0.005000,0.004000
1,10921,21.412805,0.000000,0.003000
1,10922,21.414765,0.000000,0.001000
1,10923,21.416726,0.000000,0.001000
1,10924,21.418687,0.000000,0.003000
1,10925,21.420648,0.005000,0.005000
1,10926,21.422608,0.010000,0.006000
1,10927,21.424569,0.010000,0.009000
1,10928,21.426530,0.005000,0.010000
1,10929,21.428490,0.015000,0.009000
1,10930,21.430451,0.010000,0.008000
1,10931,21.432412,0.005000,0.009000
1,10932,21.434372,0.005000,0.007000
1,10933,21.436333,0.010000,0.006000
1,10934,21.438294,0.005000,0.005000
1,10935,21.440254,0.005000,0.004000
1,10936,21.442215,0.000000,0.003000
1,10937,21.444176,0.000000,0.002000
1,10938,21.446137,0.005000,0.005000
1,10939,21.448097,0.000000,0.006000
1,10940,21.450058,0.020000,0.007000
1,10941,21.452019,0.005000,0.008000
1,10942,21.453979,0.005000,0.009000
1,10943,21.455940,0.010000,0.007000
1,10944,21.457901,0.005000,0.007000
1,10945,21.459861,0.010000,0.007000
1,10946,21.461822,0.005000,0.006000
1,10947,21.463783,0.005000,0.007000
1,10948,21.465744,0.005000,0.005000
1,10949,21.467704,0.010000,0.006000
1,10950,21.469665,0.000000,0.005000
1,10951,21.471626,0.010000,0.005000
1,10952,21.473586,0.000000,0.006000
1,10953,21.475547,0.005000,0.009000
1,10954,21.477508,0.015000,0.009000
1,10955,21.479468,0.015000,0.010000
1,10956,21.481429,0.010000,0.010000
1,10957,21.483390,0.005000,0.010000
1,10958,21.485351,0.005000,0.009000
1,10959,21.487311,0.015000,0.009000
