pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,5988,6535,11.740672,12.813175,1074.464,0.007,47.799,6178,12.113205,0.713356,6173,6184,23.528,6175,6181,13.725,6177,6179,5.882
2,7547,7772,14.797403,15.238560,443.118,0.007,74.656,7716,15.128761,1.152931,7710,7722,25.489,7713,7719,13.725,7715,7717,5.882
3,8584,9438,16.830649,18.505087,1676.399,0.006,202.614,9253,18.142357,3.669266,9247,9261,29.410,9250,9258,17.646,9252,9255,7.843
4,10575,11325,20.734402,22.204928,1472.486,0.005,254.995,10792,21.159874,7.034349,10785,10803,37.253,10788,10801,27.450,10790,10798,17.646
5,12318,13320,24.151903,26.116524,1966.582,0.006,254.994,12334,24.183274,5.880182,12327,12343,33.332,12329,12340,23.528,12332,12337,11.764
6,13392,14173,26.257694,27.789001,1533.267,0.005,254.995,13873,27.200791,8.592472,13866,13887,43.135,13869,13885,33.332,13871,13883,25.489
7,15336,16093,30.069295,31.553545,1486.211,0.004,254.996,15415,30.224190,9.365999,15408,15431,47.057,15411,15429,37.253,15413,15426,27.450
8,16931,17132,33.196612,33.590712,396.061,0.007,254.993,16957,33.247590,11.554540,16950,16977,54.900,16953,16975,45.096,16955,16973,37.253
9,18374,19223,36.025902,37.690536,1666.595,0.007,254.993,18501,36.274911,11.993972,18495,18522,54.900,18497,18520,47.057,18500,18518,37.253
10,19846,20089,38.912052,39.388502,478.411,0.005,254.995,20048,39.308114,11.411833,20042,20068,52.939,20044,20066,45.096,20047,20064,35.293
11,21544,22378,42.241321,43.876545,1637.185,0.005,254.995,21595,42.341316,12.121143,21588,21616,56.860,21591,21614,47.057,21593,21612,39.214
12,23083,23457,45.258838,45.992140,735.263,0.006,254.994,23140,45.370598,14.872549,23134,23167,66.664,23137,23165,56.860,23139,23163,49.017
13,24612,24878,48.256748,48.778295,523.507,0.006,254.994,24691,48.411644,13.760624,24684,24715,62.742,24687,24713,52.939,24689,24711,45.096
14,26209,26327,51.387986,51.619349,233.323,0.006,254.994,26237,51.442886,16.140402,26230,26266,72.546,26233,26264,62.742,26235,26262,54.900
15,28614,30657,56.103470,60.109180,4007.671,0.005,254.995,29336,57.519095,18.765058,29330,29371,82.349,29332,29369,74.507,29335,29367,64.703
16,30706,31155,60.205254,61.085608,882.315,0.006,254.994,30889,60.564062,27.203434,30883,30966,164.699,30885,30962,152.935,30888,30928,80.389
17,32418,32546,63.561973,63.812942,252.930,0.006,254.994,32448,63.620794,34.324048,32442,32535,184.306,32445,32532,172.542,32447,32529,162.738
18,33684,34465,66.044219,67.575525,1533.267,0.006,254.994,34008,66.679486,34.358977,34002,34092,178.424,34004,34090,170.581,34006,34087,160.777
19,35391,35931,69.391134,70.449912,1060.739,0.006,254.994,35579,69.759745,34.093677,35572,35663,180.384,35575,35660,168.620,35577,35657,158.817
20,36930,37647,72.408651,73.814473,1407.783,0.006,254.994,37151,72.841966,38.902645,37144,37245,199.991,37147,37242,188.227,37149,37240,180.384
21,38716,38919,75.910461,76.308483,399.983,0.006,254.994,38728,75.933990,51.614967,38721,38849,252.930,38724,38846,241.166,38726,38843,231.363
