pulse_id,abs_frame,time_s,metric_raw,metric_sm
1,5988,11.740672,0.010000,0.009000
1,5989,11.742632,0.010000,0.009000
1,5990,11.744593,0.015000,0.008000
1,5991,11.746554,0.005000,0.007000
1,5992,11.748514,0.000000,0.005000
1,5993,11.750475,0.005000,0.005000
1,5994,11.752436,0.000000,0.005000
1,5995,11.754397,0.015000,0.006000
1,5996,11.756357,0.005000,0.005000
1,5997,11.758318,0.005000,0.008000
1,5998,11.760279,0.000000,0.005000
1,5999,11.762239,0.015000,0.005000
1,6000,11.764200,0.000000,0.005000
1,6001,11.766161,0.005000,0.006000
1,6002,11.768121,0.005000,0.004000
1,6003,11.770082,0.005000,0.007000
1,6004,11.772043,0.005000,0.007000
1,6005,11.774003,0.015000,0.008000
1,6006,11.775964,0.005000,0.009000
1,6007,11.777925,0.010000,0.011000
1,6008,11.779886,0.010000,0.009000
1,6009,11.781846,0.015000,0.009000
1,6010,11.783807,0.005000,0.010000
1,6011,11.785768,0.005000,0.008000
1,6012,11.787728,0.015000,0.005000
1,6013,11.789689,0.000000,0.007000
1,6014,11.791650,0.000000,0.009000
1,6015,11.793610,0.015000,0.007000
1,6016,11.795571,0.015000,0.008000
1,6017,11.797532,0.005000,0.008000
1,6018,11.799493,0.005000,0.005000
1,6019,11.801453,0.000000,0.003000
1,6020,11.803414,0.000000,0.002000
1,6021,11.805375,0.005000,0.003000
1,6022,11.807335,0.000000,0.003000
1,6023,11.809296,0.010000,0.005000
1,6024,11.811257,0.000000,0.007000
1,6025,11.813218,0.010000,0.009000
1,6026,11.815178,0.015000,0.008000
1,6027,11.817139,0.010000,0.010000
1,6028,11.819100,0.005000,0.009000
1,6029,11.821060,0.010000,0.009000
1,6030,11.823021,0.005000,0.007000
1,6031,11.824982,0.015000,0.007000
1,6032,11.826942,0.000000,0.006000
1,6033,11.828903,0.005000,0.006000
1,6034,11.830864,0.005000,0.005000
1,6035,11.832824,0.005000,0.006000
1,6036,11.834785,0.010000,0.008000
1,6037,11.836746,0.005000,0.010000
1,6038,11.838707,0.015000,0.012000
1,6039,11.840667,0.015000,0.011000
1,6040,11.842628,0.015000,0.010000
1,6041,11.844589,0.005000,0.008000
1,6042,11.846549,0.000000,0.005000
1,6043,11.848510,0.005000,0.002000
1,6044,11.850471,0.000000,0.002000
1,6045,11.852431,0.000000,0.004000
1,6046,11.854392,0.005000,0.007000
1,6047,11.856353,0.010000,0.009000
1,6048,11.858314,0.020000,0.009000
1,6049,11.860274,0.010000,0.011000
1,6050,11.862235,0.000000,0.011000
1,6051,11.864196,0.015000,0.008000
1,6052,11.866156,0.010000,0.007000
1,6053,11.868117,0.005000,0.008000
1,6054,11.870078,0.005000,0.006000
1,6055,11.872039,0.005000,0.006000
1,6056,11.873999,0.005000,0.006000
1,6057,11.875960,0.010000,0.006000
1,6058,11.877921,0.005000,0.005000
1,6059,11.879881,0.005000,0.006000
1,6060,11.881842,0.000000,0.006000
1,6061,11.883803,0.010000,0.006000
1,6062,11.885763,0.010000,0.006000
1,6063,11.887724,0.005000,0.008000
1,6064,11.889685,0.005000,0.007000
1,6065,11.891645,0.010000,0.007000
1,6066,11.893606,0.005000,0.008000
1,6067,11.895567,0.010000,0.007000
1,6068,11.897528,0.010000,0.007000
1,6069,11.899488,0.000000,0.007000
1,6070,11.901449,0.010000,0.007000
1,6071,11.903410,0.005000,0.006000
1,6072,11.905370,0.010000,0.006000
1,6073,11.907331,0.005000,0.006000
1,6074,11.909292,0.000000,0.007000
1,6075,11.911252,0.010000,0.007000
1,6076,11.913213,0.010000,0.009000
1,6077,11.915174,0.010000,0.011000
1,6078,11.917135,0.015000,0.010000
1,6079,11.919095,0.010000,0.008000
1,6080,11.921056,0.005000,0.007000
1,6081,11.923017,0.000000,0.006000
1,6082,11.924977,0.005000,0.006000
1,6083,11.926938,0.010000,0.006000
1,6084,11.928899,0.010000,0.010000
1,6085,11.930860,0.005000,0.011000
1,6086,11.932820,0.020000,0.010000
1,6087,11.934781,0.010000,0.009000
1,6088,11.936742,0.005000,0.010000
1,6089,11.938702,0.005000,0.010000
1,6090,11.940663,0.010000,0.011000
1,6091,11.942624,0.020000,0.012000
1,6092,11.944584,0.015000,0.015000
1,6093,11.946545,0.010000,0.015000
1,6094,11.948506,0.020000,0.011000
1,6095,11.950466,0.010000,0.008000
1,6096,11.952427,0.000000,0.009000
1,6097,11.954388,0.000000,0.005000
1,6098,11.956349,0.015000,0.004000
1,6099,11.958309,0.000000,0.008000
1,6100,11.960270,0.005000,0.008000
1,6101,11.962231,0.020000,0.006000
1,6102,11.964191,0.000000,0.008000
1,6103,11.966152,0.005000,0.007000
1,6104,11.968113,0.010000,0.006000
1,6105,11.970073,0.000000,0.007000
1,6106,11.972034,0.015000,0.007000
1,6107,11.973995,0.005000,0.007000
1,6108,11.975956,0.005000,0.008000
1,6109,11.977916,0.010000,0.005000
1,6110,11.979877,0.005000,0.005000
1,6111,11.981838,0.000000,0.004000
1,6112,11.983798,0.005000,0.003000
1,6113,11.985759,0.000000,0.005000
1,6114,11.987720,0.005000,0.006000
1,6115,11.989681,0.015000,0.005000
1,6116,11.991641,0.005000,0.006000
1,6117,11.993602,0.000000,0.009000
1,6118,11.995563,0.005000,0.007000
1,6119,11.997523,0.020000,0.007000
1,6120,11.999484,0.005000,0.009000
1,6121,12.001445,0.005000,0.011000
1,6122,12.003405,0.010000,0.008000
1,6123,12.005366,0.015000,0.010000
1,6124,12.007327,0.005000,0.009000
1,6125,12.009287,0.015000,0.010000
1,6126,12.011248,0.000000,0.007000
1,6127,12.013209,0.015000,0.007000
1,6128,12.015170,0.000000,0.004000
1,6129,12.017130,0.005000,0.006000
1,6130,12.019091,0.000000,0.006000
1,6131,12.021052,0.010000,0.008000
1,6132,12.023012,0.015000,0.009000
1,6133,12.024973,0.010000,0.013000
1,6134,12.026934,0.010000,0.012000
1,6135,12.028894,0.020000,0.010000
1,6136,12.030855,0.005000,0.008000
1,6137,12.032816,0.005000,0.008000
1,6138,12.034777,0.000000,0.007000
1,6139,12.036737,0.010000,0.008000
1,6140,12.038698,0.015000,0.008000
1,6141,12.040659,0.010000,0.008000
1,6142,12.042619,0.005000,0.008000
1,6143,12.044580,0.000000,0.007000
1,6144,12.046541,0.010000,0.008000
1,6145,12.048502,0.010000,0.008000
1,6146,12.050462,0.015000,0.010000
1,6147,12.052423,0.005000,0.009000
1,6148,12.054384,0.010000,0.009000
1,6149,12.056344,0.005000,0.008000
1,6150,12.058305,0.010000,0.009000
1,6151,12.060266,0.010000,0.008000
1,6152,12.062226,0.010000,0.007000
1,6153,12.064187,0.005000,0.006000
1,6154,12.066148,0.000000,0.005000
1,6155,12.068108,0.005000,0.006000
1,6156,12.070069,0.005000,0.007000
1,6157,12.072030,0.015000,0.008000
1,6158,12.073991,0.010000,0.009000
1,6159,12.075951,0.005000,0.009000
1,6160,12.077912,0.010000,0.006000
1,6161,12.079873,0.005000,0.005000
1,6162,12.081833,0.000000,0.006000
1,6163,12.083794,0.005000,0.006000
1,6164,12.085755,0.010000,0.006000
1,6165,12.087715,0.010000,0.008000
1,6166,12.089676,0.005000,0.008000
1,6167,12.091637,0.010000,0.009000
1,6168,12.093598,0.005000,0.009000
1,6169,12.095558,0.015000,0.014000
1,6170,12.097519,0.010000,0.239000
1,6171,12.099480,0.030000,1.258000
1,6172,12.101440,1.135000,3.852000
1,6173,12.103401,5.100000,9.050000
1,6174,12.105362,12.985000,16.924000
1,6175,12.107323,26.000000,26.448000
1,6176,12.109283,39.400002,36.286001
1,6177,12.111244,48.755001,44.186001
1,6178,12.113205,54.290001,47.806001
1,6179,12.115165,52.485001,46.632000
1,6180,12.117126,44.099998,41.334000
1,6181,12.119087,33.529999,33.076999
1,6182,12.121047,22.264999,23.878999
1,6183,12.123008,13.005000,15.603000
1,6184,12.124969,6.495000,9.097000
1,6185,12.126929,2.720000,4.647000
