pulse_id,abs_frame,time_s,metric_raw,metric_sm
1,6170,12.074073,0.010000,0.009000
1,6171,12.076030,0.005000,0.008000
1,6172,12.077987,0.015000,0.007000
1,6173,12.079944,0.000000,0.006000
1,6174,12.081901,0.005000,0.006000
1,6175,12.083858,0.005000,0.004000
1,6176,12.085814,0.005000,0.005000
1,6177,12.087771,0.005000,0.006000
1,6178,12.089728,0.005000,0.007000
1,6179,12.091685,0.010000,0.007000
1,6180,12.093642,0.010000,0.007000
1,6181,12.095599,0.005000,0.009000
1,6182,12.097556,0.005000,0.010000
1,6183,12.099513,0.015000,0.009000
1,6184,12.101470,0.015000,0.009000
1,6185,12.103426,0.005000,0.009000
1,6186,12.105383,0.005000,0.008000
1,6187,12.107340,0.005000,0.007000
1,6188,12.109297,0.010000,0.008000
1,6189,12.111254,0.010000,0.010000
1,6190,12.113211,0.010000,0.009000
1,6191,12.115168,0.015000,0.007000
1,6192,12.117125,0.000000,0.006000
1,6193,12.119082,0.000000,0.006000
1,6194,12.121039,0.005000,0.004000
1,6195,12.122996,0.010000,0.005000
1,6196,12.124952,0.005000,0.006000
1,6197,12.126909,0.005000,0.009000
1,6198,12.128866,0.005000,0.008000
1,6199,12.130823,0.020000,0.007000
1,6200,12.132780,0.005000,0.007000
1,6201,12.134737,0.000000,0.006000
1,6202,12.136694,0.005000,0.006000
1,6203,12.138651,0.000000,0.006000
1,6204,12.140608,0.020000,0.006000
1,6205,12.142565,0.005000,0.006000
1,6206,12.144521,0.000000,0.007000
1,6207,12.146478,0.005000,0.004000
1,6208,12.148435,0.005000,0.009000
1,6209,12.150392,0.005000,0.011000
1,6210,12.152349,0.030000,0.011000
1,6211,12.154306,0.010000,0.011000
1,6212,12.156263,0.005000,0.011000
1,6213,12.158220,0.005000,0.008000
1,6214,12.160177,0.005000,0.007000
1,6215,12.162133,0.015000,0.006000
1,6216,12.164090,0.005000,0.005000
1,6217,12.166047,0.000000,0.004000
1,6218,12.168004,0.000000,0.002000
1,6219,12.169961,0.000000,0.001000
1,6220,12.171918,0.005000,0.001000
1,6221,12.173875,0.000000,0.003000
1,6222,12.175832,0.000000,0.003000
1,6223,12.177789,0.010000,0.003000
1,6224,12.179746,0.000000,0.003000
1,6225,12.181703,0.005000,0.004000
1,6226,12.183659,0.000000,0.005000
1,6227,12.185616,0.005000,0.008000
1,6228,12.187573,0.015000,0.007000
1,6229,12.189530,0.015000,0.009000
1,6230,12.191487,0.000000,0.009000
1,6231,12.193444,0.010000,0.006000
1,6232,12.195401,0.005000,0.003000
1,6233,12.197358,0.000000,0.007000
1,6234,12.199315,0.000000,0.007000
1,6235,12.201272,0.020000,0.007000
1,6236,12.203228,0.010000,0.010000
