pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,4544,4566,8.840352,8.883153,44.746,0.007,254.993,4548,8.848134,10.697590,4544,4566,44.746,4544,4566,44.746,4546,4564,36.965
2,5583,5621,10.861726,10.935655,75.874,0.007,254.993,5586,10.867563,18.551923,5583,5621,75.874,5583,5620,73.929,5585,5618,66.147
3,6629,6721,12.896719,13.075705,180.931,0.007,254.993,6633,12.904501,35.784066,6629,6721,180.931,6629,6720,178.986,6631,6717,169.258
4,7687,7785,14.955058,15.145717,192.605,0.007,254.993,7691,14.962840,38.640690,7687,7785,192.605,7687,7784,190.659,7689,7781,180.931
5,8757,8880,17.036744,17.276040,241.242,0.007,254.993,8760,17.042580,51.184134,8757,8880,241.242,8757,8879,239.296,8759,8876,229.569
6,9853,10001,19.169011,19.456945,289.880,0.006,254.994,9856,19.174848,63.290547,9853,10001,289.880,9853,10000,287.934,9855,9997,278.207
7,10973,11147,21.347971,21.686488,340.462,0.006,254.994,10977,21.355753,76.151061,10973,11147,340.462,10973,11146,338.517,10975,11143,328.789
8,12119,12297,23.577514,23.923813,348.244,0.007,254.993,12122,23.583351,78.455929,12119,12297,348.244,12119,12296,346.299,12121,12294,338.517
9,13271,13454,25.818730,26.174757,357.972,0.008,254.992,13275,25.826512,81.036711,13271,13454,357.972,13271,13454,357.972,13273,13451,348.244
10,14427,14615,28.067728,28.433482,367.700,0.007,254.993,14430,28.073565,83.613849,14427,14615,367.700,14427,14614,365.754,14429,14612,357.972
11,15584,15778,30.318672,30.696099,379.373,0.009,254.991,15587,30.324508,86.378579,15584,15778,379.373,15584,15777,377.427,15586,15774,367.700
12,16749,16943,32.585179,32.962606,379.373,0.008,254.992,16753,32.592962,86.213072,16749,16943,379.373,16749,16943,379.373,16751,16940,369.645
13,17917,18117,34.857523,35.246623,391.046,0.007,254.993,17920,34.863360,89.367289,17917,18117,391.046,17917,18117,391.046,17919,18114,381.318
14,19091,19295,37.141540,37.538422,398.827,0.008,254.992,19094,37.147377,90.906219,19091,19295,398.827,19091,19294,396.882,19093,19291,387.154
15,20270,20572,39.435285,40.022826,589.486,0.010,254.990,20273,39.441122,139.987240,20270,20572,589.486,20270,20572,589.486,20272,20569,579.759
16,21544,21972,41.913852,42.746526,834.619,0.007,254.993,21548,41.921634,201.786606,21544,21972,834.619,21544,21971,832.674,21546,21969,824.892
17,22947,23500,44.643389,45.719250,1077.807,0.008,254.992,22950,44.649225,263.592470,22947,23500,1077.807,22947,23499,1075.861,22949,23496,1066.134
18,24467,25277,47.600548,49.176403,1577.800,0.008,254.992,24470,47.606385,390.870446,24467,25277,1577.800,24467,25276,1575.855,24469,25274,1568.073
19,26251,27309,51.071320,53.129659,2060.284,0.007,254.993,26254,51.077157,511.096527,26251,27309,2060.284,26251,27307,2056.393,26253,27277,1994.137
20,28290,29607,55.038195,57.600418,2564.169,0.008,254.992,28293,55.044031,641.137723,28290,29607,2564.169,28290,29606,2562.224,28292,29603,2552.496
21,30579,32150,59.491445,62.547825,3058.326,0.009,254.991,30582,59.497281,766.600248,30579,32150,3058.326,30579,32149,3056.380,30581,32147,3048.598
22,33124,35204,64.442742,68.489382,4048.585,0.006,254.994,33127,64.448578,1018.520852,33124,35204,4048.585,33124,35204,4048.585,33126,35201,4038.858
