pulse_id,abs_frame,time_s,metric_raw,metric_sm
3,6705,13.044577,255.000000,255.000000
3,6706,13.046523,255.000000,255.000000
3,6707,13.048468,255.000000,255.000000
3,6708,13.050414,255.000000,255.000000
3,6709,13.052359,255.000000,255.000000
3,6710,13.054305,255.000000,255.000000
3,6711,13.056250,255.000000,255.000000
3,6712,13.058196,255.000000,255.000000
3,6713,13.060141,255.000000,255.000000
3,6714,13.062087,255.000000,255.000000
3,6715,13.064032,255.000000,255.000000
3,6716,13.065978,255.000000,255.000000
3,6717,13.067923,255.000000,248.603000
3,6718,13.069869,255.000000,228.281000
3,6719,13.071814,223.014999,195.637000
3,6720,13.073760,153.389999,153.595000
3,6721,13.075705,91.779999,105.712000
4,7687,14.955058,158.675003,157.353999
4,7688,14.957004,249.664993,201.003999
4,7689,14.958949,255.000000,234.667999
4,7690,14.960895,255.000000,253.932999
4,7691,14.962840,255.000000,255.000000
4,7692,14.964786,255.000000,255.000000
4,7693,14.966731,255.000000,255.000000
4,7694,14.968677,255.000000,255.000000
4,7695,14.970622,255.000000,254.800000
4,7696,14.972568,255.000000,254.600000
4,7697,14.974513,254.000000,254.400000
4,7698,14.976459,254.000000,254.200000
4,7699,14.978404,254.000000,254.000000
4,7700,14.980350,254.000000,254.000000
4,7701,14.982295,254.000000,254.000000
4,7702,14.984241,254.000000,254.000000
4,7703,14.986186,254.000000,254.000000
4,7704,14.988132,254.000000,254.000000
4,7705,14.990077,254.000000,254.000000
4,7706,14.992023,254.000000,254.000000
4,7707,14.993968,254.000000,254.000000
4,7708,14.995914,254.000000,254.000000
4,7709,14.997859,254.000000,254.000000
4,7710,14.999805,254.000000,254.000000
4,7711,15.001750,254.000000,254.000000
4,7712,15.003696,254.000000,254.000000
4,7713,15.005641,254.000000,254.000000
4,7714,15.007587,254.000000,254.000000
4,7715,15.009532,254.000000,254.000000
4,7716,15.011478,254.000000,254.000000
4,7717,15.013424,254.000000,254.000000
4,7718,15.015369,254.000000,254.000000
4,7719,15.017314,254.000000,254.000000
4,7720,15.019260,254.000000,254.000000
4,7721,15.021205,254.000000,254.000000
