pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,10856,11527,21.285359,22.600989,1317.590,0.006,13.271,11059,21.683381,0.189551,11053,11065,25.489,11056,11062,13.725,11058,11060,5.882
2,12578,12713,24.661685,24.926379,266.655,0.007,23.392,12596,24.696977,0.331609,12590,12602,25.489,12593,12599,13.725,12595,12597,5.882
3,14094,14156,27.634106,27.755669,123.524,0.006,130.796,14134,27.712534,2.199982,14128,14141,27.450,14131,14138,15.686,14133,14135,5.882
4,15661,15818,30.706523,31.014353,309.791,0.006,189.418,15673,30.730051,3.403571,15666,15680,29.410,15669,15677,17.646,15671,15674,7.843
5,17166,17675,33.657376,34.655372,999.957,0.005,150.225,17212,33.747568,2.597725,17206,17219,27.450,17208,17216,17.646,17211,17213,5.882
6,18350,18910,35.978845,37.076837,1099.953,0.006,132.568,18751,36.765086,2.249790,18745,18758,27.450,18747,18755,17.646,18749,18752,7.843
7,20166,20462,39.539476,40.119843,582.328,0.006,254.994,20290,39.782603,7.004913,20284,20302,37.253,20286,20299,27.450,20289,20297,17.646
8,22685,23652,44.478479,46.374476,1897.958,0.006,254.994,23372,45.825480,7.472881,23365,23384,39.214,23368,23382,29.410,23370,23379,19.607
9,24738,25083,48.503797,49.180238,678.402,0.006,254.994,24912,48.844958,8.916128,24905,24927,45.096,24908,24925,35.293,24910,24922,25.489
10,25985,26733,50.948789,52.415393,1468.564,0.006,254.994,26454,51.868358,10.329575,26447,26472,50.978,26450,26469,39.214,26452,26467,31.371
