pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,5185,5625,10.186451,11.050875,866.389,0.006,10.345,5588,10.978185,0.149618,5583,5594,23.575,5585,5591,13.752,5587,5589,5.894
2,7048,7315,13.846501,14.371049,526.513,0.006,34.516,7124,13.995810,0.499712,7119,7130,23.575,7121,7127,13.752,7123,7125,5.894
3,8580,9059,16.856268,17.797311,943.008,0.006,104.366,8660,17.013436,1.679772,8654,8667,27.504,8657,8664,15.717,8659,8661,5.894
4,10119,10426,19.879787,20.482920,605.097,0.005,254.972,10201,20.040885,5.415597,10194,10209,31.434,10196,10206,21.611,10199,10203,9.823
5,11307,12398,22.213732,24.357111,2145.343,0.006,254.994,11738,23.060475,6.619629,11732,11749,35.363,11734,11746,25.540,11737,11744,15.717
6,13100,13374,25.736260,26.274560,540.265,0.005,254.995,13279,26.087923,9.356248,13273,13295,45.186,13276,13293,35.363,13278,13291,27.504
7,14794,14876,29.064292,29.225390,163.062,0.006,254.994,14823,29.121266,7.834090,14817,14837,41.257,14820,14834,29.469,14822,14832,21.611
8,16125,16717,31.679175,32.842218,1165.008,0.006,254.994,16365,32.150679,10.633087,16359,16384,51.080,16362,16382,41.257,16364,16380,33.398
9,17892,17935,35.150623,35.235101,86.442,0.006,254.994,17909,35.184021,12.188716,17903,17930,55.009,17905,17928,47.150,17907,17926,39.292
10,19338,20022,37.991435,39.335221,1345.751,0.006,254.994,19456,38.223258,11.209354,19449,19475,53.044,19452,19473,43.221,19454,19471,35.363
11,20962,21193,41.181945,41.635768,455.787,0.006,254.994,20996,41.248742,13.999651,20990,21021,62.867,20993,21019,53.044,20995,21017,45.186
12,22533,22613,44.268332,44.425500,159.133,0.006,254.994,22543,44.287978,14.792623,22537,22570,66.796,22540,22568,56.973,22542,22566,49.115
13,23931,24118,47.014843,47.382223,369.345,0.004,254.996,24091,47.329179,13.405560,24085,24115,60.903,24088,24113,51.080,24090,24111,43.221
14,25443,25784,49.985318,50.655246,671.893,0.005,254.995,25640,50.372344,14.887028,25633,25666,66.796,25636,25664,56.973,25638,25662,49.115
15,26580,27361,52.219068,53.753421,1536.317,0.006,254.994,27190,53.417474,16.213364,27183,27219,72.690,27186,27217,62.867,27188,27215,55.009
16,28714,28934,56.411524,56.843736,434.177,0.006,254.994,28739,56.460639,19.188902,28733,28774,82.513,28735,28772,74.655,28738,28770,64.832
17,30278,30605,59.484159,60.126583,644.389,0.007,254.993,30293,59.513628,23.011324,30287,30363,151.274,30289,30332,86.442,30292,30330,76.619
18,31474,32541,61.833820,63.930049,2098.193,0.006,254.994,31850,62.572510,34.571726,31844,31937,184.672,31846,31934,174.849,31849,31931,163.062
19,33289,33639,65.399569,66.087179,689.575,0.006,254.994,33417,65.651038,36.296775,33411,33506,188.602,33413,33503,178.779,33415,33500,168.956
20,34756,35110,68.281638,68.977106,697.433,0.005,254.995,34986,68.733496,34.795105,34979,35071,182.708,34982,35068,170.920,34984,35065,161.097
21,36492,36785,71.692183,72.267811,577.592,0.006,254.994,36555,71.815953,40.696143,36549,36653,206.283,36551,36650,196.460,36554,36648,186.637
22,37980,38417,74.615508,75.474038,860.495,0.007,254.993,38091,74.833579,52.813360,38085,38214,255.398,38087,38211,245.575,38090,38208,233.787
