pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,9227,9470,18.021254,18.495857,476.556,0.006,17.465,9430,18.417733,0.246587,9425,9436,23.437,9427,9433,13.672,9429,9431,5.859
2,10629,11023,20.759500,21.529021,771.474,0.006,11.310,10965,21.415741,0.160883,10960,10971,23.437,10962,10968,13.672,10964,10966,5.859
3,12280,12610,23.984068,24.628591,646.476,0.006,83.069,12502,24.417656,1.301140,12496,12508,25.390,12498,12505,15.625,12501,12503,5.859
4,14022,14262,27.386368,27.855112,470.697,0.006,142.588,14039,27.419571,2.407223,14033,14046,27.343,14035,14043,17.578,14038,14040,5.859
5,15491,15629,30.255472,30.525000,271.481,0.005,105.244,15578,30.425392,1.735128,15571,15584,27.343,15574,15581,15.625,15576,15579,7.812
6,17028,17124,33.257387,33.444884,189.451,0.005,75.828,17113,33.423400,1.187608,17107,17120,27.343,17110,17117,15.625,17112,17114,5.859
7,18401,19050,35.938993,37.206555,1269.515,0.006,145.098,18652,36.429221,2.476949,18645,18659,29.296,18648,18656,17.578,18650,18653,7.812
8,19925,20379,38.915517,39.802225,888.660,0.007,254.993,20192,39.436995,5.968314,20185,20201,33.203,20187,20198,23.437,20190,20196,13.672
9,21558,22500,42.104930,43.944750,1841.773,0.005,254.995,21732,42.444769,7.148971,21726,21744,37.109,21728,21741,27.343,21731,21739,17.578
10,23258,23403,45.425200,45.708399,285.153,0.007,254.993,23274,45.456449,8.245654,23268,23288,41.015,23270,23286,33.203,23273,23283,21.484
11,24606,24991,48.057979,48.809922,753.897,0.006,254.994,24815,48.466176,7.587356,24809,24828,39.062,24811,24826,31.250,24814,24823,19.531
12,26183,26627,51.138017,52.005194,869.129,0.005,254.995,26357,51.477857,11.469558,26351,26378,54.687,26354,26376,44.921,26356,26374,37.109
