pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,4453,4470,8.697154,8.730357,35.156,0.008,254.992,4456,8.703014,8.368180,4453,4470,35.156,4453,4470,35.156,4455,4468,27.343
2,5488,5527,10.718613,10.794784,78.124,0.007,254.993,5492,10.726425,19.035540,5488,5527,78.124,5488,5526,76.171,5490,5524,68.358
3,6534,6623,12.761555,12.935381,175.779,0.009,254.991,6537,12.767415,34.434606,6534,6623,175.779,6534,6623,175.779,6536,6620,166.013
4,7591,7688,14.825982,15.015433,191.404,0.006,254.994,7595,14.833794,38.524593,7591,7688,191.404,7591,7687,189.451,7593,7685,181.638
5,8660,8783,16.913846,17.154077,242.184,0.008,254.992,8663,16.919705,51.356696,8660,8783,242.184,8660,8782,240.231,8662,8779,230.466
6,9758,9905,19.058350,19.345455,289.059,0.008,254.992,9761,19.064209,63.334279,9758,9905,289.059,9758,9905,289.059,9760,9902,279.293
7,10878,11051,21.245822,21.583708,339.839,0.007,254.993,10881,21.251681,76.247251,10878,11051,339.839,10878,11051,339.839,10880,11048,330.074
8,12026,12204,23.487981,23.835632,349.605,0.008,254.992,12029,23.493840,78.696401,12026,12204,349.605,12026,12203,347.652,12028,12201,339.839
9,13178,13363,25.737952,26.099275,363.277,0.009,254.991,13181,25.743811,81.988214,13178,13363,363.277,13178,13362,361.323,13180,13359,351.558
10,14336,14525,27.999642,28.368777,371.089,0.007,254.993,14339,28.005501,84.373055,14336,14525,371.089,14336,14525,371.089,14338,14522,361.323
11,15500,15692,30.273050,30.648045,376.948,0.010,254.990,15503,30.278909,85.904480,15500,15692,376.948,15500,15692,376.948,15502,15689,367.183
12,16656,16852,32.530834,32.913641,384.761,0.005,254.995,16660,32.538646,87.627748,16656,16852,384.761,16656,16851,382.808,16658,16849,374.995
13,17825,18023,34.814007,35.200721,388.667,0.007,254.993,17828,34.819867,88.620122,17825,18023,388.667,17825,18022,386.714,17827,18020,378.901
14,18997,19201,37.103041,37.501473,400.385,0.009,254.991,19001,37.110853,91.742535,18997,19201,400.385,18997,19201,400.385,18999,19198,390.620
15,20174,20473,39.401839,39.985816,585.930,0.007,254.993,20177,39.407699,138.849301,20174,20473,585.930,20174,20473,585.930,20176,20470,576.164
16,21447,21874,41.888136,42.722109,835.927,0.010,254.990,21450,41.893995,202.131610,21447,21874,835.927,21447,21874,835.927,21449,21871,826.161
17,22850,23404,44.628335,45.710352,1083.970,0.009,254.991,22853,44.634194,265.427770,22850,23404,1083.970,22850,23404,1083.970,22852,23401,1074.205
18,24379,25188,47.614625,49.194683,1582.011,0.007,254.993,24383,47.622437,391.534412,24379,25188,1582.011,24379,25188,1582.011,24381,25185,1572.245
19,26161,27224,51.095049,53.171194,2078.098,0.008,254.992,26164,51.100908,517.565798,26161,27224,2078.098,26161,27223,2076.145,26163,27220,2066.380
20,28198,29515,55.073514,57.645746,2574.186,0.006,254.994,28201,55.079373,643.932513,28198,29515,2574.186,28198,29514,2572.233,28200,29511,2562.467
21,30487,32060,59.544160,62.616386,3074.179,0.008,254.992,30491,59.551972,770.596662,30487,32060,3074.179,30487,32059,3072.226,30489,32057,3064.414
22,33032,35115,64.514799,68.583106,4070.260,0.008,254.992,33036,64.522612,1023.532369,33032,35115,4070.260,33032,35114,4068.307,33034,35111,4058.542
