pulse_id,start_frame,end_frame,start_time_s,end_time_s,segment_ms_any,baseline,peak_bs,peak_frame,peak_time_s,auc_bs_metric_s,t10_start_frame,t10_end_frame,t10_ms,t50_start_frame,t50_end_frame,t50_ms,t90_start_frame,t90_end_frame,t90_ms
1,2942,3499,5.668351,6.741523,1075.099,0.005,254.995,3153,6.074885,36.409793,3147,3243,186.890,3149,3241,179.183,3151,3238,169.550
2,4676,4956,9.009249,9.548725,541.403,0.006,254.994,4721,9.095951,36.053738,4715,4811,186.890,4717,4809,179.183,4720,4806,167.623
3,6181,6420,11.908933,12.369414,462.408,0.006,254.994,6289,12.117016,36.608778,6282,6379,188.817,6285,6377,179.183,6287,6374,169.550
4,7830,8522,15.086061,16.419337,1335.203,0.005,254.995,7854,15.132302,35.189326,7848,7943,184.963,7851,7940,173.403,7853,7937,163.770
5,9314,9652,17.945284,18.596508,653.151,0.006,254.994,9424,18.157221,34.938103,9418,9512,183.037,9421,9509,171.476,9423,9506,161.843
6,10751,11229,20.713952,21.634914,922.889,0.006,254.994,10988,21.170580,35.895519,10982,11077,184.963,10984,11074,175.330,10986,11072,167.623
7,12358,12637,23.810159,24.347708,539.476,0.007,254.993,12605,24.286054,26.773179,12545,12621,148.356,12547,12618,138.722,12549,12616,131.016
8,14626,15775,28.179914,30.393693,2215.705,0.007,254.993,15679,30.208729,34.151605,15673,15765,179.183,15675,15762,169.550,15678,15759,157.989
9,17191,17710,33.121900,34.121857,1001.884,0.007,254.993,17250,33.235575,34.205268,17244,17336,179.183,17246,17333,169.550,17249,17330,157.989
10,18746,18913,36.117918,36.439677,323.686,0.006,254.994,18821,36.262421,33.761886,18815,18907,179.183,18818,18904,167.623,18820,18901,157.989
